Gene,Variation
AKAP9,0.10594623300992613
AKR1A1,0.1909063238588553
AKR1B1,0.24918836382523124
AKR7A2,0.2104379683623454
AKT1,0.2059693204241657
AKT1S1,0.26944881774120577
AKT2,0.27793166187887747
ALAD,0.2514755068067278
ALB,0.44123750671250356
ALCAM,0.4997231478582716
ALDH16A1,0.1459865518016832
ALDH18A1,0.17878391338745553
ALDH1A1,0.4735225797073615
ALDH1A3,0.6530247033710781
ALDH1B1,0.2957525958118163
ALDH1L2,0.3636493671639317
ALDH2,0.341727302451339
ALDH3A2,0.27170078782047874
ALDH4A1,0.2946429066742858
ALDH5A1,0.33744236678125
ALDH6A1,0.3393789628305053
ALDH7A1,0.21579233853157037
ALDH9A1,0.2155179407876817
ALDOA,0.22143646209033407
ALDOC,0.38739501780969265
ALG1,0.20740092911563962
ALG2,0.1962418461522282
ALG5,0.24128466085537573
ALG6,0.21450472426217768
ALKBH5,0.2001126647986911
ALOX5,0.3485496075112746
ALOX5AP,0.3909436934853442
ALPL,0.5699954212871725
ALYREF,0.14272744888640135
AMBP,0.398460014288721
AMPD2,0.1819236358336718
AMPD3,0.2589035401920731
ANAPC1,0.11821249049494291
ANAPC7,0.1347531966811886
ANG,0.38009387061103417
ANK1,0.560447518905757
ANK3,0.23753874425627478
ANKFY1,0.14819197666562417
ANKLE2,0.1472678576289021
ANKRD17,0.16864823934548617
ANKRD28,0.13820575596031803
ANKRD44,0.2525956119816737
ANKS1A,0.1982338766071489
ANO10,0.2011305171176605
ANO6,0.17642366532047526
ANP32A,0.2651856233728025
ANP32B,0.1889072747489653
ANP32E,0.2914821256751292
ANPEP,0.572393090567559
ANXA1,0.3547327528456583
ANXA11,0.26736521295436855
ANXA2,0.3307119526042273
ANXA3,0.46210175538402815
ANXA4,0.3817699594225108
ANXA5,0.2395774544046068
ANXA6,0.2698877146951371
ANXA7,0.16980198856994738
AOC3,0.7955148780766093
AP1B1,0.15625346251237585
AP1G1,0.1698237185062972
AP1M1,0.13728723067059406
AP1M2,0.3170105577969348
AP2A1,0.14828098354035052
AP2A2,0.16294816188553388
AP2B1,0.11243544169469548
AP2M1,0.1281484738233718
AP2S1,0.1510970549030786
AP3B1,0.10908721104133538
AP3D1,0.11969113537714464
