Gene_ID,t_protein_3p_loss,t_protein_5q_amplification,t_protein_7p_amplification,t_protein_9p_loss,t_protein_14q_loss
ACSL4,-1,0,0,1,1
ACSL5,0,0,0,1,1
ACSM2A,0,0,0,1,0
ACSM2B,0,0,0,1,0
ACSM3,-1,0,0,1,0
ACSM5,0,0,0,1,0
ACSS1,-1,0,0,1,0
ACSS2,0,0,0,1,0
ACSS3,-1,0,0,1,0
ACTA1,0,0,0,1,0
ACTA2,0,0,0,1,0
ACTB,0,0,0,1,0
ACTBL2,0,0,0,0,0
ACTG1,0,0,0,1,0
ACTG2,0,0,0,1,0
ACTL6A,0,0,0,1,0
ACTN1,0,0,0,1,0
ACTN3,0,0,0,1,0
ACTN4,0,0,0,0,0
ACTR10,0,0,0,1,0
ACTR1A,0,0,0,1,0
ACTR1B,0,0,0,1,-1
ACTR2,0,0,0,1,1
ACTR3,0,0,1,1,1
ACTR3B,0,0,1,1,0
ACTR5,0,0,0,1,-1
ACTR6,0,0,0,1,0
ACTR8,-1,0,0,0,0
ACVR1,0,0,0,0,0
ACY1,0,0,0,0,0
ACY3,0,0,0,0,0
ACYP1,1,0,0,-1,-1
ACYP2,0,0,0,0,0
ADA,0,0,0,0,0
ADA2,0,0,0,0,0
ADAL,0,0,0,0,0
ADAM10,-1,-1,0,0,0
ADAM15,0,0,1,0,0
ADAM17,0,-1,0,0,1
ADAM9,0,-1,0,1,1
ADAMTS1,0,0,0,0,1
ADAMTS7,0,-1,0,0,1
ADAMTSL1,0,0,0,0,1
ADAMTSL2,0,0,0,0,1
ADAMTSL3,0,0,0,0,1
ADAMTSL4,0,0,1,0,1
ADAMTSL5,0,-1,0,0,1
ADAP1,0,0,0,0,1
ADAP2,0,0,0,0,1
ADAR,0,0,0,0,1
ADARB1,0,-1,0,0,1
ADAT1,0,0,0,0,1
ADAT3,0,0,0,0,1
ADCK1,-1,-1,0,0,1
ADCK5,0,0,0,0,1
ADCY6,0,0,0,0,1
ADCY9,0,0,0,0,1
ADD1,0,0,0,0,1
ADD2,0,0,0,0,1
ADD3,0,-1,0,0,1
ADGRE2,0,0,0,0,1
ADGRE5,0,0,0,0,1
ADGRF1,0,0,0,0,0
ADGRF5,1,0,0,-1,1
ADGRG1,0,0,0,0,1
