Gene_ID,t_protein_3p_loss,t_protein_5q_amplification,t_protein_7p_amplification,t_protein_9p_loss,t_protein_14q_loss
BCL7C,0,0,0,0,-1
BCL9L,0,0,0,0,0
BCLAF1,0,0,0,0,0
BCO1,0,0,0,0,0
BCR,-1,0,0,0,0
BCS1L,0,0,0,0,0
BDH1,-1,0,0,0,0
BDH2,-1,0,0,0,0
BECN1,0,0,0,0,0
BEND3,0,0,0,0,0
BEND7,0,0,0,0,0
BET1,0,0,0,1,0
BET1L,0,0,0,0,1
BGN,0,0,0,-1,0
BHMT,0,0,0,0,0
BHMT2,0,0,0,0,0
BICC1,0,0,0,0,1
BICD1,1,0,0,0,0
BICD2,0,-1,0,-1,0
BID,0,1,1,0,0
BIN1,0,0,0,0,0
BIN2,0,0,0,0,1
BIN3,0,0,0,0,-1
BIRC2,0,0,0,-1,0
BIRC3,0,0,0,0,1
BIRC6,-1,0,0,1,0
BLMH,1,0,0,0,-1
BLNK,0,0,0,0,0
BLOC1S1,0,0,0,0,0
BLOC1S2,0,0,0,0,0
BLOC1S3,0,0,0,0,0
BLOC1S4,0,0,0,0,0
BLOC1S5,0,0,0,0,0
BLOC1S6,0,0,0,0,0
BLVRA,0,0,0,0,0
BLVRB,0,0,0,0,0
BLZF1,0,0,0,0,0
BMF,0,0,0,0,0
BMP2K,0,0,0,0,0
BMPR2,0,0,0,0,-1
BMS1,0,1,0,1,1
BNC2,0,0,0,0,0
BNIP1,0,0,0,0,0
BNIP2,0,0,0,0,0
BNIP3,0,0,0,0,0
BOD1,0,1,0,0,0
BOD1L1,0,-1,0,-1,-1
BOK,0,0,0,0,0
BOLA1,0,0,0,0,-1
BOLA2,0,0,0,0,1
BOLA3,0,0,0,0,1
BOP1,0,0,0,1,1
BORCS5,0,0,0,0,0
BORCS6,0,0,0,0,0
BORCS7,0,0,0,0,-1
BORCS8,0,0,0,0,0
BPGM,0,0,0,0,-1
BPHL,0,0,0,0,0
BPI,0,0,0,0,1
BPNT1,0,0,0,0,0
BPTF,0,0,0,0,0
BRAF,0,0,0,0,0
BRAP,0,0,0,0,0
BRAT1,0,0,0,0,-1
BRCC3,0,0,0,0,0
BRD1,0,0,0,0,-1
BRD2,0,0,0,-1,0
BRD3,0,-1,0,-1,-1
BRD4,0,0,0,0,0
BRD7,0,0,0,0,0
BRD8,0,0,0,0,0
BRD9,0,0,0,0,0
BRF1,0,0,0,0,-1
BRF2,0,0,0,0,0
BRI3,0,0,0,1,1
BRI3BP,0,0,0,0,0
BRIX1,0,1,0,0,1
BRK1,-1,-1,0,0,0
BRMS1,0,0,0,0,1
BRMS1L,0,0,0,0,-1
BROX,0,0,0,0,0
BRPF1,-1,0,0,0,0
BSCL2,0,0,0,0,0
BSDC1,0,0,0,0,1
BSG,0,0,0,1,0
BSND,0,0,0,0,0
BSPRY,0,0,-1,-1,-1
BST1,0,0,0,0,0
BST2,1,0,0,0,0
BTAF1,0,0,0,1,0
BTBD1,0,0,0,0,0
BTBD10,0,0,0,0,0
BTBD2,0,0,0,0,1
BTD,0,0,0,0,0
BTF3,0,0,0,0,0
BTF3L4,0,0,0,0,0
BTK,0,0,0,1,1
BTN2A1,0,0,0,0,1
BTN3A1,0,0,0,0,0
BTN3A2,0,0,0,0,1
BTN3A3,0,0,0,0,0
BTNL9,0,0,0,0,0
BUB3,0,0,0,0,0
BUD13,0,0,0,0,0
BUD23,0,0,0,0,1
BUD31,0,0,0,0,0
BYSL,0,1,0,1,1
BZW1,0,0,0,0,0
BZW2,0,0,1,1,0
C11orf52,0,0,0,0,0
C11orf54,0,0,0,0,0
C11orf58,0,0,0,0,0
C11orf68,0,0,0,0,0
C11orf96,1,0,0,0,-1
C11orf98,0,1,0,0,0
C12orf10,0,1,0,0,1
C12orf29,0,0,0,0,0
C12orf4,0,0,0,-1,0
C12orf43,0,0,0,0,0
C12orf45,0,0,0,0,0
C12orf57,0,0,0,0,0
C12orf65,-1,0,0,0,0
C12orf66,0,0,0,0,0
C12orf73,0,0,0,1,1
C12orf75,0,0,0,0,1
C14orf119,0,0,0,0,-1
C15orf38-AP3S2,0,0,0,0,-1
C15orf40,0,0,0,0,-1
C15orf48,0,0,0,0,1
C16orf58,0,0,0,0,0
C16orf70,0,0,0,0,0
C16orf86,0,0,0,0,-1
C16orf91,0,0,0,0,1
C17orf49,0,0,0,0,0
C17orf75,0,0,0,0,0
C17orf80,0,0,0,0,0
C17orf97,0,0,0,0,0
C18orf21,-1,0,0,0,0
C18orf25,0,0,0,0,0
C18orf32,0,0,0,0,0
C19orf12,0,0,0,0,0
C19orf25,0,0,0,0,-1
C19orf33,1,0,0,0,1
C19orf47,0,0,0,0,0
C19orf53,0,0,0,0,0
C19orf54,0,0,0,0,0
C19orf66,0,0,0,0,0
C19orf70,0,0,0,0,0
C1D,0,0,0,0,0
C1GALT1,0,0,0,0,0
C1GALT1C1,0,0,0,0,1
C1QA,0,0,0,0,1
C1QB,0,0,0,0,1
C1QBP,0,0,0,0,0
C1QC,0,0,0,0,1
C1QTNF3,0,0,0,0,0
C1QTNF5,0,0,0,0,0
C1R,0,0,0,0,0
C1RL,0,0,0,0,0
C1S,0,0,0,0,0
C1orf109,0,0,0,-1,-1
C1orf116,0,0,0,0,1
C1orf122,0,0,0,1,0
C1orf123,1,0,0,0,-1
C1orf174,0,0,0,0,0
C1orf198,0,0,0,0,0
C1orf210,0,0,-1,-1,0
C1orf226,0,0,0,0,-1
C1orf35,0,0,0,0,0
C1orf50,0,0,0,0,0
C1orf52,0,0,0,0,0
C2,0,0,0,0,0
C20orf194,0,0,0,0,0
C20orf27,0,0,0,0,-1
C21orf2,0,0,0,0,0
C22orf39,0,0,0,0,0
C2CD2,0,0,0,0,0
C2CD2L,0,0,0,1,1
C2CD5,0,0,0,0,0
C2orf49,1,0,0,0,0
C2orf54,0,0,0,0,-1
C2orf68,0,0,0,0,0
C2orf69,0,0,0,0,0
C2orf76,0,0,0,0,0
C2orf88,0,0,0,0,0
C3,0,0,0,0,0
C3orf38,0,0,0,0,0
C3orf58,1,0,0,0,0
C4A,0,0,0,0,0
C4B,0,0,0,0,0
C4BPA,0,0,0,0,0
C4BPB,0,0,0,0,0
C4orf3,0,0,0,1,1
C4orf33,0,0,0,0,0
C5,0,0,0,0,0
C5AR1,0,0,0,0,0
C5orf15,0,1,0,0,1
C5orf22,0,0,0,0,0
C5orf24,0,0,0,0,-1
C5orf51,0,1,0,0,0
C6,0,0,0,0,0
C6orf106,1,0,0,0,0
C6orf120,0,0,0,0,0
C6orf132,0,0,0,0,0
C6orf136,0,0,0,0,0
C6orf203,0,0,0,0,0
C6orf47,0,0,0,0,0
C6orf89,0,0,0,0,0
C7,0,0,0,0,0
C7orf25,0,0,0,0,0
C7orf26,0,0,0,0,0
C7orf43,-1,0,0,0,0
C7orf50,0,0,1,0,0
C7orf55-LUC7L2,0,0,0,0,0
C8A,0,0,0,0,0
C8B,0,0,0,0,0
C8G,0,0,0,0,0
C8orf33,0,0,1,0,0
C8orf37,1,0,1,0,-1
C8orf59,0,0,1,0,1
C8orf82,0,0,0,0,0
C9,0,0,1,0,0
C9orf16,0,0,1,0,-1
C9orf40,0,0,1,0,-1
C9orf64,1,0,1,-1,-1
C9orf66,0,0,0,0,0
C9orf78,0,0,1,-1,0
CA1,0,0,1,0,0
CA12,0,0,1,0,0
CA13,0,0,1,1,0
CA2,0,0,1,0,-1
CA3,0,0,1,0,0
CA4,0,0,0,0,-1
CA5B,0,0,1,0,0
CA8,0,0,1,0,0
CA9,1,0,1,0,-1
CAAP1,0,0,1,0,0
CAB39,-1,0,0,0,0
CAB39L,-1,0,1,0,0
CABIN1,0,0,1,0,0
CABLES1,0,0,1,-1,-1
CACNA2D1,0,0,0,0,0
CACNG6,0,0,1,0,0
CACTIN,0,0,1,0,0
CACUL1,-1,0,1,0,1
CACYBP,0,0,0,0,1
CAD,0,0,0,1,1
CADM1,0,0,0,0,0
CADM4,-1,0,0,0,0
CADPS2,0,0,0,0,0
CALB1,0,0,0,0,0
CALB2,0,0,0,0,0
CALCOCO1,0,0,0,0,0
CALCOCO2,0,0,0,0,0
CALCRL,1,0,0,-1,-1
CALD1,1,0,0,0,0
CALHM5,0,0,0,0,-1
CALM1,0,0,0,-1,-1
CALML3,0,0,0,0,0
CALML4,1,0,0,0,0
CALR,0,0,0,1,1
CALU,0,0,1,0,1
CAMK1,0,0,0,1,0
CAMK1D,0,0,0,0,0
CAMK2B,0,0,0,0,0
CAMK2D,0,0,0,-1,0
CAMK2G,0,0,0,0,0
CAMK4,0,0,0,0,-1
CAMKK1,0,0,0,0,0
CAMKK2,1,0,0,0,0
CAMKMT,0,0,0,0,0
CAMLG,0,1,0,0,0
CAMP,0,0,0,0,0
CAMSAP1,0,0,0,-1,0
CAMSAP2,0,0,0,0,-1
CAMSAP3,0,0,0,0,1
CAND1,0,0,0,0,1
CAND2,-1,0,0,0,0
CANT1,0,0,0,1,1
CANX,0,1,0,1,1
CAP1,0,0,0,0,0
CAP2,0,0,0,0,0
CAPG,0,0,0,0,1
CAPN1,0,0,0,-1,0
CAPN15,0,0,0,0,0
CAPN2,0,0,0,0,0
CAPN5,0,0,0,-1,0
CAPN6,0,0,0,1,0
CAPN7,-1,0,0,0,0
CAPNS1,0,0,0,0,0
CAPRIN1,-1,0,0,0,1
CAPS,0,0,0,0,0
CAPZA1,0,0,0,1,1
CAPZA2,-1,0,0,0,0
CAPZB,0,0,0,0,0
CARD10,0,0,0,1,0
CARD11,0,0,0,0,1
CARD16,1,0,0,0,0
CARD19,0,0,0,0,0
CARD6,0,0,0,0,0
CARD8,0,0,0,0,-1
CARD9,0,0,0,0,0
CARHSP1,1,0,0,0,0
CARM1,0,0,0,0,0
CARMIL1,0,0,0,0,0
CARNMT1,0,0,0,-1,0
CARS,0,0,0,0,1
CARS2,0,0,0,0,0
CASC3,0,0,0,0,0
CASC4,0,0,0,1,1
CASK,0,0,0,1,0
CASKIN2,0,-1,0,-1,-1
CASP1,1,0,0,0,1
CASP10,0,0,0,0,0
CASP2,1,0,1,0,0
CASP3,0,0,0,1,1
CASP4,0,1,0,1,1
CASP6,0,0,0,0,1
CASP7,0,0,0,0,0
CASP8,0,0,0,1,1
CASP9,0,0,0,0,0
CASR,0,0,0,0,0
CAST,0,1,0,0,1
CASTOR1,0,0,0,0,0
CASTOR2,0,0,0,0,1
CAT,0,0,0,0,0
CAV1,1,0,0,0,-1
CAV2,1,0,0,0,0
CAVIN1,1,0,0,0,-1
CAVIN2,0,-1,0,-1,-1
CAVIN3,1,0,0,0,-1
CBFB,1,0,0,1,1
CBL,0,0,0,0,0
CBLB,0,0,0,0,0
CBLL1,0,0,1,0,0
CBR1,0,0,1,0,0
CBR3,0,0,1,0,0
CBR4,-1,0,0,0,0
CBWD1,0,0,1,-1,0
CBX1,0,0,1,-1,-1
CBX3,0,0,1,0,0
CBX4,0,-1,1,0,0
CBX5,0,0,0,0,0
CBX7,0,0,1,0,0
CBX8,0,0,1,0,0
CC2D1A,0,0,1,0,0
CC2D1B,0,0,1,0,0
CC2D2A,0,0,1,0,0
CCAR1,0,0,1,0,0
CCAR2,0,0,0,-1,-1
CCDC102A,0,0,1,-1,0
CCDC106,0,0,1,0,0
CCDC115,0,0,1,0,0
CCDC117,0,0,1,0,0
CCDC12,-1,0,0,0,0
CCDC120,0,0,1,0,0
CCDC124,0,0,1,0,-1
CCDC127,0,0,1,0,0
CCDC130,0,0,0,0,0
CCDC134,0,0,1,0,0
CCDC174,0,-1,1,0,0
CCDC182,0,0,1,0,0
CCDC186,-1,0,0,0,1
CCDC22,0,0,0,0,0
CCDC25,0,0,0,0,-1
CCDC28A,0,0,0,0,0
CCDC32,0,0,0,0,0
CCDC39,0,0,0,0,0
CCDC43,0,-1,0,0,-1
CCDC47,0,0,0,1,1
CCDC50,0,0,0,0,0
CCDC51,-1,0,0,0,1
CCDC58,0,0,0,0,0
CCDC6,0,0,0,1,1
CCDC61,0,0,0,0,0
CCDC65,1,0,0,0,-1
CCDC7,0,0,0,0,1
CCDC8,0,0,0,-1,0
CCDC80,0,0,0,0,0
CCDC82,0,0,0,0,-1
CCDC85B,0,0,0,0,-1
CCDC85C,0,0,0,0,-1
CCDC86,0,1,0,0,0
CCDC88A,0,0,0,0,0
CCDC88B,0,0,0,0,0
CCDC88C,0,0,0,-1,-1
CCDC9,0,0,0,-1,0
CCDC90B,0,0,0,0,0
CCDC91,0,0,0,0,0
CCDC92,0,0,0,0,0
CCDC93,0,0,0,0,0
CCDC97,0,0,0,0,-1
CCDC9B,-1,0,0,0,0
CCL14,0,0,0,0,0
CCL16,0,0,0,0,0
CCL18,0,0,0,0,0
CCL21,0,0,0,0,0
CCL5,0,0,0,0,0
CCM2,0,0,1,0,0
CCNC,0,0,0,0,0
CCND1,1,0,0,0,-1
CCNDBP1,0,0,0,0,1
CCNH,0,0,0,0,0
CCNK,0,0,0,0,0
CCNL1,0,0,0,0,0
CCNL2,0,0,0,0,0
CCNT1,0,0,0,0,1
CCNT2,0,0,0,0,0
CCNY,1,0,0,0,0
CCNYL1,0,0,0,0,0
CCP110,0,0,0,0,0
CCPG1,0,0,0,0,1
CCS,1,0,0,0,-1
CCSER1,0,0,0,0,0
CCSER2,0,0,0,0,0
CCT2,0,0,0,0,0
CCT3,0,0,0,0,0
CCT4,0,0,0,0,0
CCT5,0,0,0,0,0
CCT6A,0,0,0,0,0
CCT6B,0,0,0,0,0
CCT7,0,0,0,0,0
CCT8,0,0,0,0,0
CCZ1,-1,0,0,0,1
CD109,1,0,0,1,0
CD14,0,0,0,0,1
CD151,0,0,0,0,0
CD163,0,0,0,0,1
CD180,0,0,0,0,0
CD2,0,0,0,0,0
CD200,0,0,0,0,0
CD209,0,0,0,0,0
CD248,0,0,0,0,-1
CD276,0,0,0,1,0
CD2AP,0,0,0,-1,0
CD2BP2,0,0,0,0,0
CD300A,0,0,0,0,0
CD34,1,0,0,-1,-1
CD36,0,0,0,-1,-1
CD38,0,0,0,0,0
CD3E,0,0,0,0,0
CD3EAP,0,0,0,0,0
CD4,0,0,0,1,0
CD40,0,0,0,0,1
CD44,0,0,0,1,1
CD46,-1,0,0,0,0
CD47,0,0,0,0,0
CD48,0,0,0,0,0
CD53,0,0,0,0,1
CD55,0,0,0,0,0
CD58,0,0,0,0,0
CD59,0,0,0,0,0
CD5L,0,0,0,0,0
CD63,0,0,0,1,0
CD70,0,1,0,0,0
CD74,0,1,0,0,1
CD81,0,0,0,0,0
CD82,-1,0,0,1,0
CD84,0,0,0,0,0
CD8A,1,0,0,0,0
CD9,0,0,0,0,0
CD93,1,0,0,-1,-1
CD99,0,0,0,0,0
CD99L2,0,-1,0,0,-1
CDA,0,0,0,1,0
CDADC1,0,0,0,0,-1
CDC123,0,0,0,0,0
CDC16,0,0,0,0,1
CDC23,0,0,0,0,0
CDC26,0,0,0,0,0
CDC27,0,0,0,0,0
CDC34,0,0,0,0,0
CDC37,0,0,0,0,-1
CDC37L1,-1,0,0,-1,0
CDC40,0,0,0,0,-1
CDC42,0,0,0,0,0
CDC42BPA,0,0,0,0,-1
CDC42BPB,0,0,0,-1,-1
CDC42BPG,0,0,0,0,0
CDC42EP1,0,0,0,0,-1
CDC42EP2,0,0,0,-1,-1
CDC42EP3,0,0,0,0,0
CDC42EP4,0,0,0,0,0
CDC42EP5,0,0,0,-1,-1
CDC42SE1,0,0,0,0,0
CDC42SE2,0,0,-1,0,1
CDC5L,0,0,0,0,0
CDC73,0,0,0,0,0
CDCP1,0,1,0,1,1
CDH1,0,0,0,0,0
CDH11,0,0,0,0,0
CDH13,1,0,0,-1,-1
CDH16,0,0,0,0,0
CDH2,1,0,0,0,-1
CDH4,0,0,0,0,0
CDH5,1,0,0,-1,-1
CDH6,1,0,0,0,1
CDH9,0,0,0,0,0
CDHR2,0,0,0,0,1
CDHR5,0,0,0,0,0
CDIP1,-1,0,0,0,0
CDIPT,1,0,0,0,0
CDK1,0,0,0,0,1
CDK11A,0,0,0,0,0
CDK11B,0,0,0,0,0
CDK12,0,0,0,0,0
CDK13,0,0,0,0,0
CDK14,0,0,0,0,0
CDK16,0,0,0,0,0
CDK17,0,0,0,0,-1
CDK18,1,0,0,0,0
CDK19,0,0,0,0,0
CDK2,1,1,0,0,0
CDK2AP1,0,1,0,0,-1
CDK4,0,1,0,0,0
CDK5,0,0,1,1,1
CDK5RAP1,0,1,0,0,0
CDK5RAP2,0,1,0,-1,0
CDK5RAP3,0,1,0,0,0
CDK6,0,1,0,0,0
CDK7,0,0,0,0,1
CDK9,0,1,0,0,0
CDKAL1,0,1,0,0,1
CDKL5,0,1,0,0,0
CDKN1B,0,1,0,0,0
CDKN1C,0,1,0,0,-1
CDKN2A,0,1,0,0,0
CDKN2AIP,0,0,-1,0,0
CDKN2AIPNL,0,1,0,0,0
CDKN2C,0,1,0,0,0
CDNF,0,1,0,0,0
CDPF1,0,1,0,0,0
CDR2,0,0,0,0,1
CDR2L,0,1,0,0,0
CDS1,0,1,0,0,0
CDS2,0,1,0,0,0
CDV3,0,0,0,1,1
CDYL,0,1,0,0,0
CEACAM1,0,1,0,0,0
CEACAM4,1,1,0,-1,-1
CEBPB,0,0,0,1,0
CEBPZ,0,0,0,0,1
CEBPZOS,0,0,1,1,1
CELF1,0,0,0,0,0
CELF2,0,0,0,0,0
CELSR1,0,0,0,0,0
CELSR2,0,-1,0,0,0
CEMIP2,1,0,0,1,0
CENPB,0,0,0,0,0
CENPC,0,0,0,0,0
CENPF,0,0,0,0,0
CENPV,0,0,0,-1,-1
CEP104,0,0,0,0,0
CEP112,0,0,0,0,-1
CEP120,1,0,0,0,0
CEP128,0,0,0,0,0
CEP131,0,0,0,0,1
CEP135,0,-1,0,-1,-1
CEP164,0,0,0,0,0
CEP170,0,0,0,0,0
CEP170B,0,-1,0,0,-1
CEP192,0,0,0,0,0
CEP250,0,0,0,0,-1
CEP290,0,0,0,0,0
CEP350,0,0,0,0,0
CEP41,-1,0,1,1,1
CEP44,0,0,0,0,0
CEP57,0,0,0,-1,-1
CEP68,0,0,0,-1,-1
CEP78,0,0,0,-1,-1
CEP89,0,0,0,0,0
CEP97,0,0,0,0,0
CEPT1,0,0,0,0,0
CERS2,0,0,0,1,1
CERS4,0,0,0,0,0
CERS5,0,0,0,0,0
CERS6,0,0,0,0,0
CES1,0,0,0,0,0
CES2,1,0,0,0,0
CES3,0,0,0,0,0
CETN2,0,0,0,0,0
CETN3,1,0,0,0,0
CETP,0,0,0,0,0
CFAP20,1,0,0,0,0
CFAP298,0,0,0,0,1
CFAP36,1,1,0,0,1
CFAP97,1,0,0,0,0
CFB,0,0,0,0,0
CFD,-1,0,0,0,0
CFDP1,0,0,0,0,0
CFH,0,0,0,0,0
CFHR1,0,0,0,0,0
CFHR2,0,0,0,0,0
CFHR3,0,0,0,0,0
CFHR4,0,0,0,0,0
CFHR5,0,0,0,0,0
CFI,0,0,0,0,0
CFL1,0,0,0,0,0
CFL2,0,0,0,-1,-1
CFLAR,1,0,0,0,0
CFP,0,0,0,0,0
CFTR,0,0,0,0,0
CGAS,0,0,0,0,0
CGGBP1,0,0,0,-1,-1
CGN,0,0,0,0,0
CGNL1,0,0,0,0,0
CGREF1,0,0,0,0,0
CHAC2,0,0,0,0,0
CHAD,0,0,0,0,0
CHAF1A,0,0,0,0,0
CHAMP1,0,0,0,0,-1
CHCHD1,-1,0,0,0,0
CHCHD10,-1,0,0,0,0
CHCHD2,0,0,1,0,0
CHCHD3,0,0,0,0,1
CHCHD4,-1,0,0,0,1
CHCHD5,-1,0,0,0,1
CHCHD6,-1,0,0,0,1
CHCHD7,-1,0,0,0,0
CHD1,0,1,0,1,1
CHD1L,0,0,0,0,0
CHD2,0,0,0,0,0
CHD3,0,0,0,0,0
CHD4,0,0,0,0,0
CHD8,0,0,0,0,-1
CHDH,0,0,0,0,0
CHEK2,0,0,0,0,1
CHERP,0,0,0,0,0
CHGA,0,0,0,0,0
CHI3L1,0,0,0,0,0
CHID1,0,0,0,-1,0
CHIT1,0,0,0,0,0
CHKA,0,0,0,0,0
CHKB,0,-1,0,-1,-1
CHL1,-1,0,0,0,0
CHM,0,0,0,0,0
CHML,0,0,0,0,0
CHMP1A,0,0,0,0,0
CHMP1B,0,0,0,-1,-1
CHMP2A,0,0,0,0,0
CHMP2B,-1,0,0,0,0
CHMP3,0,0,0,0,-1
CHMP4A,0,0,0,0,-1
CHMP4B,0,0,0,1,1
CHMP4C,0,0,0,0,0
CHMP5,0,0,0,-1,0
CHMP6,0,0,0,0,0
CHMP7,0,0,0,0,0
CHN1,0,0,0,0,-1
CHN2,0,0,0,0,0
CHORDC1,-1,0,0,0,1
CHP1,-1,0,0,0,0
CHPF2,0,0,0,0,1
CHPT1,0,0,0,0,0
CHRAC1,0,0,-1,0,-1
CHST13,0,0,0,0,0
CHST14,0,0,0,0,1
CHSY1,0,0,0,1,0
CHTOP,0,0,0,0,0
CHUK,-1,0,0,0,1
CHURC1,0,0,0,1,0
CIAO1,0,0,0,1,1
CIAO2A,0,0,0,1,0
CIAO2B,0,0,0,0,0
CIAO3,-1,0,0,1,0
CIAPIN1,0,0,0,1,1
CIB1,0,0,0,1,0
CIC,0,0,0,1,-1
CINP,0,0,0,0,0
CIP2A,0,0,0,1,0
CIR1,0,0,0,1,1
CIRBP,0,-1,0,1,-1
CISD1,0,0,0,1,1
CISD2,0,0,0,1,0
CISD3,0,0,0,1,0
CIT,0,0,0,0,1
CIZ1,0,0,0,1,1
CKAP4,0,0,1,1,1
CKAP5,-1,0,0,1,0
CKB,0,0,0,1,1
CKM,0,0,0,0,1
CKMT1A,-1,0,0,1,1
CKMT2,0,0,0,1,1
CKS1B,0,0,0,1,0
CLASP1,0,0,0,0,1
CLASP2,-1,0,0,1,1
CLASRP,0,0,0,1,1
CLC,0,0,0,1,1
CLCC1,0,0,0,1,1
CLCN3,0,0,0,0,1
CLCN5,0,0,0,0,0
CLCN6,0,0,0,0,1
CLCN7,0,0,0,0,1
CLCNKA,0,0,0,0,1
CLCNKB,-1,0,0,0,1
CLDN10,0,0,0,0,0
CLDN2,0,0,0,0,1
CLDN3,0,0,0,0,1
CLDN7,0,0,0,0,1
CLDND1,0,0,0,0,0
CLEC11A,0,0,0,0,1
CLEC14A,1,0,0,-1,1
CLEC16A,-1,0,0,0,1
CLEC18B,1,0,0,0,0
CLEC3B,0,0,0,0,0
CLIC1,0,0,0,0,1
CLIC2,0,0,0,0,-1
CLIC3,0,0,0,0,0
CLIC4,0,0,0,0,0
CLIC5,0,0,0,0,0
CLIC6,0,0,0,1,0
CLINT1,0,0,0,0,1
CLIP1,0,0,0,0,1
CLIP2,0,0,0,0,0
CLK3,0,0,0,0,-1
CLK4,0,0,0,0,0
CLMN,0,0,0,0,-1
CLN3,1,0,0,0,0
CLN5,-1,0,0,0,0
CLN6,0,0,0,0,0
CLN8,0,0,0,0,0
CLNS1A,0,0,0,0,0
CLOCK,0,0,0,0,0
CLP1,-1,0,0,0,0
CLPB,0,0,0,0,0
CLPP,0,0,0,0,1
CLPTM1,0,0,0,1,1
CLPTM1L,1,0,0,0,1
CLPX,-1,0,0,0,0
CLRN3,1,0,0,0,0
CLSTN1,-1,0,0,0,0
CLSTN3,0,0,0,0,1
CLTA,0,0,0,-1,0
CLTB,0,0,1,1,1
CLTC,0,0,0,0,1
CLTCL1,0,0,0,0,0
CLTRN,0,0,0,0,0
CLU,0,0,0,0,0
CLUAP1,0,0,1,0,1
CLUH,0,0,0,0,0
CLYBL,-1,0,0,0,0
CMA1,0,0,0,0,-1
CMAS,1,0,0,0,1
CMBL,0,0,0,0,-1
CMC1,-1,0,0,0,0
CMC2,-1,0,0,0,0
CMC4,0,0,0,0,0
CMIP,0,0,0,1,1
CMPK1,0,0,0,0,1
CMPK2,1,0,0,0,0
CMSS1,0,1,0,0,0
CMTM4,0,0,0,0,0
CMTM6,0,0,0,0,0
CMTR1,1,0,0,0,0
CMTR2,0,0,0,0,0
CNBP,0,0,0,0,0
CNDP1,0,0,0,0,-1
CNDP2,1,0,0,0,0
CNIH4,0,0,0,0,0
CNKSR3,1,0,0,0,0
CNN1,0,0,0,0,0
CNN2,0,0,0,0,0
CNN3,0,0,0,0,0
CNNM2,0,1,0,0,0
CNNM3,1,1,0,0,0
CNNM4,0,1,0,1,1
CNOT1,0,0,0,1,1
CNOT10,0,1,0,0,0
CNOT11,0,1,0,0,1
CNOT2,0,1,0,0,0
CNOT3,0,1,0,0,0
CNOT4,0,0,1,0,0
CNOT6L,0,1,0,0,0
CNOT7,0,1,0,0,0
CNOT8,0,1,0,0,1
CNOT9,0,1,0,0,0
CNP,0,1,0,0,0
CNPY2,0,1,0,0,1
CNPY3,0,0,0,0,0
CNPY4,0,1,0,-1,-1
CNRIP1,0,1,0,-1,-1
CNST,0,1,0,0,0
CNTN1,0,1,0,0,0
CNTRL,1,0,0,0,0
CNTROB,0,1,0,0,0
COA1,0,1,0,0,0
COA3,-1,1,0,0,0
COA4,-1,0,0,0,0
COA5,-1,1,0,0,0
COA6,-1,1,0,0,0
COA7,-1,1,0,0,0
COASY,0,0,0,-1,0
COBL,0,0,0,0,0
COBLL1,-1,-1,0,0,0
COCH,-1,0,0,0,0
COG1,0,0,0,0,1
COG2,0,0,0,0,1
COG3,0,0,0,0,1
COG4,0,0,0,0,1
COG5,0,0,0,1,1
COG6,0,1,0,0,1
COG7,0,1,0,0,1
COG8,0,0,0,1,1
COIL,0,0,0,1,1
COL12A1,0,0,0,1,0
COL14A1,0,0,0,0,0
COL15A1,0,0,0,1,-1
COL16A1,0,0,0,1,0
COL18A1,0,0,0,1,-1
COL1A1,0,0,0,1,0
COL1A2,0,0,0,0,0
COL21A1,0,0,0,1,-1
COL23A1,1,0,0,1,0
COL2A1,0,0,0,1,0
COL3A1,0,0,0,1,0
COL4A1,0,0,0,1,0
COL4A2,0,0,0,1,0
COL4A3,0,0,0,0,0
COL4A3BP,0,0,0,1,0
COL4A4,0,0,0,1,0
COL4A5,0,0,0,1,0
COL5A1,0,0,1,1,0
COL5A2,0,0,0,0,0
COL5A3,0,0,0,1,-1
COL6A1,0,0,0,1,-1
COL6A2,0,0,0,1,-1
COL6A3,0,0,0,0,-1
COL7A1,-1,0,0,1,0
COL8A1,0,0,0,1,0
COLEC10,0,0,0,1,0
COLEC11,0,0,0,0,0
COLGALT1,0,1,0,1,1
COMMD1,0,0,0,0,0
COMMD10,0,0,0,0,0
COMMD2,0,0,0,0,0
COMMD3,-1,0,0,0,0
COMMD3-BMI1,0,0,0,0,0
COMMD4,-1,1,0,0,1
COMMD5,0,1,0,0,0
COMMD6,-1,1,0,0,0
COMMD7,-1,0,0,0,1
COMMD8,-1,1,0,0,0
COMMD9,-1,1,0,0,1
COMP,0,1,0,0,0
COMT,0,1,0,0,1
COMTD1,0,0,0,0,0
COP1,0,1,0,0,0
COPA,0,1,0,0,1
COPB1,0,1,0,0,1
COPB2,0,1,0,0,1
COPE,0,1,0,0,1
COPG1,0,1,0,0,1
COPG2,0,0,0,0,1
COPRS,0,1,0,0,0
COPS2,0,1,0,0,0
COPS3,0,1,0,0,0
COPS4,0,1,0,0,0
COPS5,0,0,0,0,0
COPS6,0,1,0,0,0
COPS7A,0,1,0,0,-1
COPS7B,1,1,0,0,0
COPS8,0,0,0,0,0
COPS9,0,1,0,0,0
COPZ1,0,1,0,0,1
COPZ2,0,1,0,1,0
COQ10A,-1,0,0,0,0
COQ10B,-1,0,0,0,0
COQ3,-1,0,0,0,0
COQ4,0,0,0,0,0
COQ5,0,0,0,0,0
COQ6,0,0,0,0,0
COQ7,0,0,0,0,0
COQ8A,0,1,0,1,1
COQ8B,0,0,0,1,1
